review_text,rating,verified_purchase,helpful_votes,sentiment,review_text_normalized,review_text_normalized_tokens,review_text_normalized_tokens_no_stopwords,review_text_normalized_tokens_no_stopwords_lemmatized
"EDIT: After more use, Perfect fit! Very comfortable to wear all day. True to size, the measurements were accurate. Five stars from me!",5,True,24,positive,"edit: after more use, perfect fit! very comfortable to wear all day. true to size, the measurements were accurate. five stars from me!","['edit', 'after', 'more', 'use', 'perfect', 'fit', 'very', 'comfortable', 'to', 'wear', 'all', 'day', 'true', 'to', 'size', 'the', 'measurements', 'were', 'accurate', 'five', 'stars', 'from', 'me']","['edit', 'use', 'perfect', 'fit', 'comfortable', 'wear', 'day', 'true', 'size', 'measurements', 'accurate', 'five', 'stars']","['edit', 'use', 'perfect', 'fit', 'comfortable', 'wear', 'day', 'true', 'size', 'measurement', 'accurate', 'five', 'star']"
"Just received it and Great value for money, highly recommend! Disappointed overall.",4,True,17,positive,"just received it and great value for money, highly recommend! disappointed overall.","['just', 'received', 'it', 'and', 'great', 'value', 'for', 'money', 'highly', 'recommend', 'disappointed', 'overall']","['received', 'great', 'value', 'money', 'highly', 'recommend', 'disappointed', 'overall']","['received', 'great', 'value', 'money', 'highly', 'recommend', 'disappointed', 'overall']"
"Just received it and Way too loud, sounds like a jet engine. Missing basic features, very disappointed. Disappointed overall.",1,False,17,negative,"just received it and way too loud, sounds like a jet engine. missing basic features, very disappointed. disappointed overall.","['just', 'received', 'it', 'and', 'way', 'too', 'loud', 'sounds', 'like', 'jet', 'engine', 'missing', 'basic', 'features', 'very', 'disappointed', 'disappointed', 'overall']","['received', 'way', 'loud', 'sounds', 'like', 'jet', 'engine', 'missing', 'basic', 'features', 'disappointed', 'disappointed', 'overall']","['received', 'way', 'loud', 'sound', 'like', 'jet', 'engine', 'missing', 'basic', 'feature', 'disappointed', 'disappointed', 'overall']"
"In my opinion, Powerful and efficient, cleans thoroughly. Disappointed overall.",5,True,44,positive,"in my opinion, powerful and efficient, cleans thoroughly. disappointed overall.","['in', 'my', 'opinion', 'powerful', 'and', 'efficient', 'cleans', 'thoroughly', 'disappointed', 'overall']","['opinion', 'powerful', 'efficient', 'cleans', 'thoroughly', 'disappointed', 'overall']","['opinion', 'powerful', 'efficient', 'clean', 'thoroughly', 'disappointed', 'overall']"
My experience: Amazing battery life! Lasts all day without charging. Worth every penny! Check my blog: www.reviews.com/mypost,5,True,50,positive,my experience: amazing battery life! lasts all day without charging. worth every penny! check my blog:,"['my', 'experience', 'amazing', 'battery', 'life', 'lasts', 'all', 'day', 'without', 'charging', 'worth', 'every', 'penny', 'check', 'my', 'blog']","['experience', 'amazing', 'battery', 'life', 'lasts', 'day', 'without', 'charging', 'worth', 'every', 'penny', 'check', 'blog']","['experience', 'amazing', 'battery', 'life', 'last', 'day', 'without', 'charging', 'worth', 'every', 'penny', 'check', 'blog']"
"EDIT: After more use, Average product for the price point. Highly recommend!",3,True,8,neutral,"edit: after more use, average product for the price point. highly recommend!","['edit', 'after', 'more', 'use', 'average', 'product', 'for', 'the', 'price', 'point', 'highly', 'recommend']","['edit', 'use', 'average', 'product', 'price', 'point', 'highly', 'recommend']","['edit', 'use', 'average', 'product', 'price', 'point', 'highly', 'recommend']"
"Honestly, As expected from this brand. Would buy again!",3,False,3,neutral,"honestly, as expected from this brand. would buy again!","['honestly', 'as', 'expected', 'from', 'this', 'brand', 'would', 'buy', 'again']","['honestly', 'expected', 'brand', 'would', 'buy']","['honestly', 'expected', 'brand', 'would', 'buy']"
"Poor quality material, started falling apart after one wash. You get what you pay for.",2,True,6,negative,"poor quality material, started falling apart after one wash. you get what you pay for.","['poor', 'quality', 'material', 'started', 'falling', 'apart', 'after', 'one', 'wash.', 'you', 'get', 'what', 'you', 'pay', 'for']","['poor', 'quality', 'material', 'started', 'falling', 'apart', 'one', 'wash.', 'get', 'pay']","['poor', 'quality', 'material', 'started', 'falling', 'apart', 'one', 'wash.', 'get', 'pay']"
"Just received it and Standard quality, nothing remarkable. Five stars from me!",3,True,8,neutral,"just received it and standard quality, nothing remarkable. five stars from me!","['just', 'received', 'it', 'and', 'standard', 'quality', 'nothing', 'remarkable', 'five', 'stars', 'from', 'me']","['received', 'standard', 'quality', 'nothing', 'remarkable', 'five', 'stars']","['received', 'standard', 'quality', 'nothing', 'remarkable', 'five', 'star']"
"In my opinion, As expected from this brand. Worth every penny!",3,False,10,neutral,"in my opinion, as expected from this brand. worth every penny!","['in', 'my', 'opinion', 'as', 'expected', 'from', 'this', 'brand', 'worth', 'every', 'penny']","['opinion', 'expected', 'brand', 'worth', 'every', 'penny']","['opinion', 'expected', 'brand', 'worth', 'every', 'penny']"
"<p>To be honest, Beautiful color, exactly as shown in pictures. Disappointed overall.</p>",5,False,31,positive,"to be honest, beautiful color, exactly as shown in pictures. disappointed overall.","['to', 'be', 'honest', 'beautiful', 'color', 'exactly', 'as', 'shown', 'in', 'pictures', 'disappointed', 'overall']","['honest', 'beautiful', 'color', 'exactly', 'shown', 'pictures', 'disappointed', 'overall']","['honest', 'beautiful', 'color', 'exactly', 'shown', 'picture', 'disappointed', 'overall']"
"I must say, Standard quality, nothing remarkable. Worth every penny!",3,False,1,neutral,"i must say, standard quality, nothing remarkable. worth every penny!","['must', 'say', 'standard', 'quality', 'nothing', 'remarkable', 'worth', 'every', 'penny']","['must', 'say', 'standard', 'quality', 'nothing', 'remarkable', 'worth', 'every', 'penny']","['must', 'say', 'standard', 'quality', 'nothing', 'remarkable', 'worth', 'every', 'penny']"
"Just received it and Decent performance, not amazing but okay. Total waste of money.",3,True,3,neutral,"just received it and decent performance, not amazing but okay. total waste of money.","['just', 'received', 'it', 'and', 'decent', 'performance', 'not', 'amazing', 'but', 'okay', 'total', 'waste', 'of', 'money']","['received', 'decent', 'performance', 'amazing', 'okay', 'total', 'waste', 'money']","['received', 'decent', 'performance', 'amazing', 'okay', 'total', 'waste', 'money']"
"My experience: Sound quality is awful, tinny and distorted. Battery drains too quickly, barely lasts 3 hours. One star is too generous.",2,True,5,negative,"my experience: sound quality is awful, tinny and distorted. battery drains too quickly, barely lasts 3 hours. one star is too generous.","['my', 'experience', 'sound', 'quality', 'is', 'awful', 'tinny', 'and', 'distorted', 'battery', 'drains', 'too', 'quickly', 'barely', 'lasts', 'hours', 'one', 'star', 'is', 'too', 'generous']","['experience', 'sound', 'quality', 'awful', 'tinny', 'distorted', 'battery', 'drains', 'quickly', 'barely', 'lasts', 'hours', 'one', 'star', 'generous']","['experience', 'sound', 'quality', 'awful', 'tinny', 'distorted', 'battery', 'drain', 'quickly', 'barely', 'last', 'hour', 'one', 'star', 'generous']"
"Overall, Overpriced for such low quality. Runs very small, order 2 sizes up! Would buy again! Check my blog: www.reviews.com/mypost",1,True,10,negative,"overall, overpriced for such low quality. runs very small, order 2 sizes up! would buy again! check my blog:","['overall', 'overpriced', 'for', 'such', 'low', 'quality', 'runs', 'very', 'small', 'order', 'sizes', 'up', 'would', 'buy', 'again', 'check', 'my', 'blog']","['overall', 'overpriced', 'low', 'quality', 'runs', 'small', 'order', 'sizes', 'would', 'buy', 'check', 'blog']","['overall', 'overpriced', 'low', 'quality', 'run', 'small', 'order', 'size', 'would', 'buy', 'check', 'blog']"
"To be honest, Great build quality, feels premium and solid. The display is absolutely stunning. Colors are vibrant and sharp. Save your money.",5,True,47,positive,"to be honest, great build quality, feels premium and solid. the display is absolutely stunning. colors are vibrant and sharp. save your money.","['to', 'be', 'honest', 'great', 'build', 'quality', 'feels', 'premium', 'and', 'solid', 'the', 'display', 'is', 'absolutely', 'stunning', 'colors', 'are', 'vibrant', 'and', 'sharp', 'save', 'your', 'money']","['honest', 'great', 'build', 'quality', 'feels', 'premium', 'solid', 'display', 'absolutely', 'stunning', 'colors', 'vibrant', 'sharp', 'save', 'money']","['honest', 'great', 'build', 'quality', 'feel', 'premium', 'solid', 'display', 'absolutely', 'stunning', 'color', 'vibrant', 'sharp', 'save', 'money']"
"Overall, Looks stylish and modern, gets compliments. Great value for money, highly recommend! Save your money.",4,True,18,positive,"overall, looks stylish and modern, gets compliments. great value for money, highly recommend! save your money.","['overall', 'looks', 'stylish', 'and', 'modern', 'gets', 'compliments', 'great', 'value', 'for', 'money', 'highly', 'recommend', 'save', 'your', 'money']","['overall', 'looks', 'stylish', 'modern', 'gets', 'compliments', 'great', 'value', 'money', 'highly', 'recommend', 'save', 'money']","['overall', 'look', 'stylish', 'modern', 'get', 'compliment', 'great', 'value', 'money', 'highly', 'recommend', 'save', 'money']"
My experience: Easy to clean and maintain. Save your money.,5,True,24,positive,my experience: easy to clean and maintain. save your money.,"['my', 'experience', 'easy', 'to', 'clean', 'and', 'maintain', 'save', 'your', 'money']","['experience', 'easy', 'clean', 'maintain', 'save', 'money']","['experience', 'easy', 'clean', 'maintain', 'save', 'money']"
"After using it for a month, Broke after just 2 weeks of use! Consumes too much power. One star is too generous.",1,True,12,negative,"after using it for a month, broke after just 2 weeks of use! consumes too much power. one star is too generous.","['after', 'using', 'it', 'for', 'month', 'broke', 'after', 'just', 'weeks', 'of', 'use', 'consumes', 'too', 'much', 'power', 'one', 'star', 'is', 'too', 'generous']","['using', 'month', 'broke', 'weeks', 'use', 'consumes', 'much', 'power', 'one', 'star', 'generous']","['using', 'month', 'broke', 'week', 'use', 'consumes', 'much', 'power', 'one', 'star', 'generous']"
"EDIT: After more use, It works as expected, nothing special. You get what you pay for. Check my blog: www.reviews.com/mypost",3,True,8,neutral,"edit: after more use, it works as expected, nothing special. you get what you pay for. check my blog:","['edit', 'after', 'more', 'use', 'it', 'works', 'as', 'expected', 'nothing', 'special', 'you', 'get', 'what', 'you', 'pay', 'for', 'check', 'my', 'blog']","['edit', 'use', 'works', 'expected', 'nothing', 'special', 'get', 'pay', 'check', 'blog']","['edit', 'use', 'work', 'expected', 'nothing', 'special', 'get', 'pay', 'check', 'blog']"
"Overall, Great build quality, feels premium and solid. One star is too generous.",5,True,14,positive,"overall, great build quality, feels premium and solid. one star is too generous.","['overall', 'great', 'build', 'quality', 'feels', 'premium', 'and', 'solid', 'one', 'star', 'is', 'too', 'generous']","['overall', 'great', 'build', 'quality', 'feels', 'premium', 'solid', 'one', 'star', 'generous']","['overall', 'great', 'build', 'quality', 'feel', 'premium', 'solid', 'one', 'star', 'generous']"
"EDIT: After more use, Okay for occasional use. Highly recommend!",3,True,1,neutral,"edit: after more use, okay for occasional use. highly recommend!","['edit', 'after', 'more', 'use', 'okay', 'for', 'occasional', 'use', 'highly', 'recommend']","['edit', 'use', 'okay', 'occasional', 'use', 'highly', 'recommend']","['edit', 'use', 'okay', 'occasional', 'use', 'highly', 'recommend']"
"In my opinion, Difficult to clean, parts don't come apart easily. You get what you pay for.",1,True,11,negative,"in my opinion, difficult to clean, parts don't come apart easily. you get what you pay for.","['in', 'my', 'opinion', 'difficult', 'to', 'clean', 'parts', 'do', ""n't"", 'come', 'apart', 'easily', 'you', 'get', 'what', 'you', 'pay', 'for']","['opinion', 'difficult', 'clean', 'parts', ""n't"", 'come', 'apart', 'easily', 'get', 'pay']","['opinion', 'difficult', 'clean', 'part', ""n't"", 'come', 'apart', 'easily', 'get', 'pay']"
"My experience: Poor build quality, feels cheap and plastic. Worth every penny!",1,True,16,negative,"my experience: poor build quality, feels cheap and plastic. worth every penny!","['my', 'experience', 'poor', 'build', 'quality', 'feels', 'cheap', 'and', 'plastic', 'worth', 'every', 'penny']","['experience', 'poor', 'build', 'quality', 'feels', 'cheap', 'plastic', 'worth', 'every', 'penny']","['experience', 'poor', 'build', 'quality', 'feel', 'cheap', 'plastic', 'worth', 'every', 'penny']"
"Honestly, Standard features, what you would expect. Disappointed overall.",3,True,4,neutral,"honestly, standard features, what you would expect. disappointed overall.","['honestly', 'standard', 'features', 'what', 'you', 'would', 'expect', 'disappointed', 'overall']","['honestly', 'standard', 'features', 'would', 'expect', 'disappointed', 'overall']","['honestly', 'standard', 'feature', 'would', 'expect', 'disappointed', 'overall']"
"EDIT: After more use, Great features for the price. Easy to clean and maintain. Total waste of money.",5,True,25,positive,"edit: after more use, great features for the price. easy to clean and maintain. total waste of money.","['edit', 'after', 'more', 'use', 'great', 'features', 'for', 'the', 'price', 'easy', 'to', 'clean', 'and', 'maintain', 'total', 'waste', 'of', 'money']","['edit', 'use', 'great', 'features', 'price', 'easy', 'clean', 'maintain', 'total', 'waste', 'money']","['edit', 'use', 'great', 'feature', 'price', 'easy', 'clean', 'maintain', 'total', 'waste', 'money']"
"My experience: The display is absolutely stunning. Colors are vibrant and sharp. Sound quality is excellent, crystal clear audio. Would buy again!",5,True,29,positive,"my experience: the display is absolutely stunning. colors are vibrant and sharp. sound quality is excellent, crystal clear audio. would buy again!","['my', 'experience', 'the', 'display', 'is', 'absolutely', 'stunning', 'colors', 'are', 'vibrant', 'and', 'sharp', 'sound', 'quality', 'is', 'excellent', 'crystal', 'clear', 'audio', 'would', 'buy', 'again']","['experience', 'display', 'absolutely', 'stunning', 'colors', 'vibrant', 'sharp', 'sound', 'quality', 'excellent', 'crystal', 'clear', 'audio', 'would', 'buy']","['experience', 'display', 'absolutely', 'stunning', 'color', 'vibrant', 'sharp', 'sound', 'quality', 'excellent', 'crystal', 'clear', 'audio', 'would', 'buy']"
"In my opinion, Screen is too small and hard to read. Poor build quality, feels cheap and plastic. You get what you pay for.",2,False,25,negative,"in my opinion, screen is too small and hard to read. poor build quality, feels cheap and plastic. you get what you pay for.","['in', 'my', 'opinion', 'screen', 'is', 'too', 'small', 'and', 'hard', 'to', 'read', 'poor', 'build', 'quality', 'feels', 'cheap', 'and', 'plastic', 'you', 'get', 'what', 'you', 'pay', 'for']","['opinion', 'screen', 'small', 'hard', 'read', 'poor', 'build', 'quality', 'feels', 'cheap', 'plastic', 'get', 'pay']","['opinion', 'screen', 'small', 'hard', 'read', 'poor', 'build', 'quality', 'feel', 'cheap', 'plastic', 'get', 'pay']"
"My experience: Great build quality, feels premium and solid. Camera quality exceeded my expectations, photos are crisp. Highly recommend! Check my blog: www.reviews.com/mypost",5,True,25,positive,"my experience: great build quality, feels premium and solid. camera quality exceeded my expectations, photos are crisp. highly recommend! check my blog:","['my', 'experience', 'great', 'build', 'quality', 'feels', 'premium', 'and', 'solid', 'camera', 'quality', 'exceeded', 'my', 'expectations', 'photos', 'are', 'crisp', 'highly', 'recommend', 'check', 'my', 'blog']","['experience', 'great', 'build', 'quality', 'feels', 'premium', 'solid', 'camera', 'quality', 'exceeded', 'expectations', 'photos', 'crisp', 'highly', 'recommend', 'check', 'blog']","['experience', 'great', 'build', 'quality', 'feel', 'premium', 'solid', 'camera', 'quality', 'exceeded', 'expectation', 'photo', 'crisp', 'highly', 'recommend', 'check', 'blog']"
<p>Just received it and Standard features and performance. Not recommended.</p> Check my blog: www.reviews.com/mypost Contact me: reviewer@email.com,3,True,3,neutral,just received it and standard features and performance. not recommended. check my blog: contact me: reviewer@email.com,"['just', 'received', 'it', 'and', 'standard', 'features', 'and', 'performance', 'not', 'recommended', 'check', 'my', 'blog', 'contact', 'me', 'reviewer', 'email.com']","['received', 'standard', 'features', 'performance', 'recommended', 'check', 'blog', 'contact', 'reviewer', 'email.com']","['received', 'standard', 'feature', 'performance', 'recommended', 'check', 'blog', 'contact', 'reviewer', 'email.com']"
