text,intent,is_anomaly,anomaly_score,anomaly_type
qual meu signo se nasci em 15/01?,identificar_signo,True,0.591,statistical
qual meu signo se nasci em 05/03?,identificar_signo,True,0.5914,statistical
qual meu signo se nasci em 25/04?,identificar_signo,False,0.5899,normal
qual meu signo se nasci em 10/06?,identificar_signo,False,0.5885,normal
qual meu signo se nasci em 30/07?,identificar_signo,True,0.5917,statistical
qual meu signo se nasci em 15/08?,identificar_signo,False,0.5892,normal
qual meu signo se nasci em 20/09?,identificar_signo,False,0.5894,normal
qual meu signo se nasci em 31/10?,identificar_signo,False,0.5896,normal
qual meu signo se nasci em 15/11?,identificar_signo,False,0.5887,normal
qual meu signo se nasci em 25/12?,identificar_signo,False,0.5904,normal
qual meu signo se nasci em 14/02?,identificar_signo,False,0.5892,normal
qual meu signo se nasci em 01/05?,identificar_signo,False,0.5903,normal
"nasci em 15/01, qual meu signo?",identificar_signo,False,0.5907,normal
"nasci em 05/03, qual meu signo?",identificar_signo,False,0.5904,normal
"nasci em 25/04, qual meu signo?",identificar_signo,False,0.5893,normal
"nasci em 10/06, qual meu signo?",identificar_signo,False,0.5885,normal
"nasci em 30/07, qual meu signo?",identificar_signo,False,0.5909,normal
"nasci em 15/08, qual meu signo?",identificar_signo,False,0.587,normal
"nasci em 20/09, qual meu signo?",identificar_signo,False,0.5889,normal
"nasci em 31/10, qual meu signo?",identificar_signo,True,0.5911,statistical
"nasci em 15/11, qual meu signo?",identificar_signo,False,0.5864,normal
"nasci em 25/12, qual meu signo?",identificar_signo,True,0.5914,statistical
"nasci em 14/02, qual meu signo?",identificar_signo,False,0.5876,normal
"nasci em 01/05, qual meu signo?",identificar_signo,True,0.591,statistical
"meu aniversário é 15/01, qual signo sou?",identificar_signo,False,0.5865,normal
"meu aniversário é 05/03, qual signo sou?",identificar_signo,False,0.5866,normal
"meu aniversário é 25/04, qual signo sou?",identificar_signo,False,0.5857,normal
"meu aniversário é 10/06, qual signo sou?",identificar_signo,False,0.5872,normal
"meu aniversário é 30/07, qual signo sou?",identificar_signo,False,0.5873,normal
"meu aniversário é 15/08, qual signo sou?",identificar_signo,False,0.5853,normal
"meu aniversário é 20/09, qual signo sou?",identificar_signo,False,0.5855,normal
"meu aniversário é 31/10, qual signo sou?",identificar_signo,False,0.5882,normal
"meu aniversário é 15/11, qual signo sou?",identificar_signo,False,0.5851,normal
"meu aniversário é 25/12, qual signo sou?",identificar_signo,False,0.587,normal
"meu aniversário é 14/02, qual signo sou?",identificar_signo,False,0.5848,normal
"meu aniversário é 01/05, qual signo sou?",identificar_signo,False,0.5879,normal
que signo é 15/01?,identificar_signo,False,0.5875,normal
que signo é 05/03?,identificar_signo,False,0.5868,normal
que signo é 25/04?,identificar_signo,False,0.5867,normal
que signo é 10/06?,identificar_signo,False,0.5906,normal
que signo é 30/07?,identificar_signo,False,0.5888,normal
que signo é 15/08?,identificar_signo,False,0.5856,normal
que signo é 20/09?,identificar_signo,False,0.5885,normal
que signo é 31/10?,identificar_signo,False,0.5909,normal
que signo é 15/11?,identificar_signo,False,0.588,normal
que signo é 25/12?,identificar_signo,False,0.5882,normal
que signo é 14/02?,identificar_signo,False,0.5873,normal
que signo é 01/05?,identificar_signo,False,0.5873,normal
qual signo corresponde a 15/01?,identificar_signo,False,0.5879,normal
qual signo corresponde a 05/03?,identificar_signo,False,0.5885,normal
qual signo corresponde a 25/04?,identificar_signo,False,0.588,normal
qual signo corresponde a 10/06?,identificar_signo,True,0.5909,statistical
qual signo corresponde a 30/07?,identificar_signo,False,0.5887,normal
qual signo corresponde a 15/08?,identificar_signo,False,0.5853,normal
qual signo corresponde a 20/09?,identificar_signo,False,0.5886,normal
qual signo corresponde a 31/10?,identificar_signo,False,0.5898,normal
qual signo corresponde a 15/11?,identificar_signo,False,0.5871,normal
qual signo corresponde a 25/12?,identificar_signo,False,0.5875,normal
qual signo corresponde a 14/02?,identificar_signo,False,0.5862,normal
qual signo corresponde a 01/05?,identificar_signo,False,0.5892,normal
"sou de 15/01, qual meu signo?",identificar_signo,False,0.587,normal
"sou de 05/03, qual meu signo?",identificar_signo,False,0.5867,normal
"sou de 25/04, qual meu signo?",identificar_signo,False,0.5862,normal
"sou de 10/06, qual meu signo?",identificar_signo,False,0.5883,normal
"sou de 30/07, qual meu signo?",identificar_signo,False,0.5877,normal
"sou de 15/08, qual meu signo?",identificar_signo,False,0.585,normal
"sou de 20/09, qual meu signo?",identificar_signo,False,0.5876,normal
"sou de 31/10, qual meu signo?",identificar_signo,False,0.5887,normal
"sou de 15/11, qual meu signo?",identificar_signo,False,0.5843,normal
"sou de 25/12, qual meu signo?",identificar_signo,False,0.5871,normal
"sou de 14/02, qual meu signo?",identificar_signo,False,0.5854,normal
"sou de 01/05, qual meu signo?",identificar_signo,False,0.5879,normal
15/01 é de qual signo?,identificar_signo,False,0.5871,normal
05/03 é de qual signo?,identificar_signo,False,0.5868,normal
25/04 é de qual signo?,identificar_signo,False,0.587,normal
10/06 é de qual signo?,identificar_signo,False,0.5889,normal
30/07 é de qual signo?,identificar_signo,False,0.586,normal
15/08 é de qual signo?,identificar_signo,False,0.5835,normal
20/09 é de qual signo?,identificar_signo,False,0.5868,normal
31/10 é de qual signo?,identificar_signo,False,0.5878,normal
15/11 é de qual signo?,identificar_signo,False,0.5855,normal
25/12 é de qual signo?,identificar_signo,False,0.5871,normal
14/02 é de qual signo?,identificar_signo,False,0.5856,normal
01/05 é de qual signo?,identificar_signo,False,0.5866,normal
qual o signo de quem nasceu em 15/01?,identificar_signo,True,0.5912,statistical
