text,intent,is_anomaly,anomaly_score,anomaly_type,text_expanded,expansion_terms
qual meu signo se nasci em 15/01?,identificar_signo,True,0.591,statistical,qual meu signo se nasci em 15/01?,[]
qual meu signo se nasci em 05/03?,identificar_signo,True,0.5914,statistical,qual meu signo se nasci em 05/03?,[]
qual meu signo se nasci em 25/04?,identificar_signo,False,0.5899,normal,qual meu signo se nasci em 25/04?,[]
qual meu signo se nasci em 10/06?,identificar_signo,False,0.5885,normal,qual meu signo se nasci em 10/06?,[]
qual meu signo se nasci em 30/07?,identificar_signo,True,0.5917,statistical,qual meu signo se nasci em 30/07?,[]
qual meu signo se nasci em 15/08?,identificar_signo,False,0.5892,normal,qual meu signo se nasci em 15/08?,[]
qual meu signo se nasci em 20/09?,identificar_signo,False,0.5894,normal,qual meu signo se nasci em 20/09?,[]
qual meu signo se nasci em 31/10?,identificar_signo,False,0.5896,normal,qual meu signo se nasci em 31/10?,[]
qual meu signo se nasci em 15/11?,identificar_signo,False,0.5887,normal,qual meu signo se nasci em 15/11?,[]
qual meu signo se nasci em 25/12?,identificar_signo,False,0.5904,normal,qual meu signo se nasci em 25/12?,[]
qual meu signo se nasci em 14/02?,identificar_signo,False,0.5892,normal,qual meu signo se nasci em 14/02?,[]
qual meu signo se nasci em 01/05?,identificar_signo,False,0.5903,normal,qual meu signo se nasci em 01/05?,[]
"nasci em 15/01, qual meu signo?",identificar_signo,False,0.5907,normal,"nasci em 15/01, qual meu signo?",[]
"nasci em 05/03, qual meu signo?",identificar_signo,False,0.5904,normal,"nasci em 05/03, qual meu signo?",[]
"nasci em 25/04, qual meu signo?",identificar_signo,False,0.5893,normal,"nasci em 25/04, qual meu signo?",[]
"nasci em 10/06, qual meu signo?",identificar_signo,False,0.5885,normal,"nasci em 10/06, qual meu signo?",[]
"nasci em 30/07, qual meu signo?",identificar_signo,False,0.5909,normal,"nasci em 30/07, qual meu signo?",[]
"nasci em 15/08, qual meu signo?",identificar_signo,False,0.587,normal,"nasci em 15/08, qual meu signo?",[]
"nasci em 20/09, qual meu signo?",identificar_signo,False,0.5889,normal,"nasci em 20/09, qual meu signo?",[]
"nasci em 31/10, qual meu signo?",identificar_signo,True,0.5911,statistical,"nasci em 31/10, qual meu signo?",[]
"nasci em 15/11, qual meu signo?",identificar_signo,False,0.5864,normal,"nasci em 15/11, qual meu signo?",[]
"nasci em 25/12, qual meu signo?",identificar_signo,True,0.5914,statistical,"nasci em 25/12, qual meu signo?",[]
"nasci em 14/02, qual meu signo?",identificar_signo,False,0.5876,normal,"nasci em 14/02, qual meu signo?",[]
