pergunta,resposta,categoria,dificuldade
O que é a regra do impedimento?,Um jogador está impedido se estiver mais próximo da linha de gol que a bola e o penúltimo adversário quando a bola é jogada.,posicionamento_taticas,medio
O que acontece se a bola estoura?,O jogo é interrompido e reiniciado com bola ao chão no local onde a bola original estava.,situacoes_especiais,medio
De onde é cobrado o pênalti?,"O pênalti é cobrado do ponto de pênalti, localizado a 11 metros (12 jardas) da linha de gol.",equipamentos_campo,facil
Qual a regra sobre o que é cartão amarelo?,A regra estabelece que: Cartão amarelo é uma advertência dada pelo árbitro por conduta antidesportiva ou falta tática.,regras_basicas,facil
Como funciona pode haver gol direto de lateral?,"Não, não é possível fazer gol diretamente de um arremesso lateral.",regras_basicas,facil
O que é impedimento?,A regra estabelece que: Impedimento ocorre quando um jogador está mais próximo da linha de fundo adversária do que a bola e o penúltimo adversário no momento do passe.,regras_basicas,facil
Como funciona disputa de pênaltis?,"Cada time cobra 5 pênaltis alternadamente. Se empatar, continua alternado até desempate.",penaltis_finalizacoes,medio
Qual a regra sobre o que é linha lateral?,"Linha lateral é a linha que delimita os lados mais longos do campo. Quando a bola sai, é cobrado lateral.",regras_basicas,facil
Como funciona disputa de pênaltis?,"Cada time cobra 5 pênaltis alternadamente. Se empatar, continua alternado até desempate.",penaltis_finalizacoes,medio
O que acontece se a bola estoura?,O jogo é interrompido e reiniciado com bola ao chão no local onde a bola original estava.,situacoes_especiais,medio
Explique: o que é simulação?,"Simulação é fingir ter sofrido falta para enganar o árbitro, passível de cartão amarelo.",faltas_infracoes,medio
O que acontece com dois cartões amarelos no futebol?,Dois cartões amarelos resultam em um cartão vermelho e expulsão do jogador.,regras_basicas,facil
O que é interferir no jogo?,"Interferir é tocar na bola, atrapalhar adversário ou tirar vantagem da posição irregular.",posicionamento_taticas,medio
O que é a regra do impedimento?,Um jogador está impedido se estiver mais próximo da linha de gol que a bola e o penúltimo adversário quando a bola é jogada.,posicionamento_taticas,medio
O que é recuo para o goleiro?,Goleiro não pode pegar com as mãos passe intencional com o pé de jogador do próprio time.,regras_avancadas,dificil
Pode jogar sem caneleira?,"Não, caneleira é equipamento obrigatório de proteção para todos os jogadores.",equipamentos_campo,facil
Explique: quando é expulsão direta?,"Expulsão direta ocorre por violência excessiva, cuspir, linguagem ofensiva ou impedir gol com a mão.",faltas_infracoes,medio
O que é tiro livre indireto?,Tiro livre indireto exige que outro jogador toque na bola antes de fazer gol.,regras_avancadas,dificil
Quando é expulsão direta?,"Expulsão direta ocorre por violência excessiva, cuspir, linguagem ofensiva ou impedir gol com a mão.",faltas_infracoes,medio
Carrinho por trás é sempre falta?,"Não necessariamente, se tocar primeiro na bola sem atingir o adversário pode ser legal.",faltas_infracoes,medio
Quantos jogadores tem cada time em campo?,"De acordo com as regras da FIFA: Cada time tem 11 jogadores em campo, incluindo o goleiro.",regras_basicas,facil
Pode estar impedido sem participar da jogada?,"Não, apenas estar em posição irregular não é falta, precisa interferir no jogo.",posicionamento_taticas,medio
Quem pode cobrar na disputa?,Apenas os 11 jogadores que terminaram o jogo podem cobrar na disputa de pênaltis.,penaltis_finalizacoes,medio
O que é a regra do impedimento?,Um jogador está impedido se estiver mais próximo da linha de gol que a bola e o penúltimo adversário quando a bola é jogada.,posicionamento_taticas,medio
O que acontece se a bola estoura?,O jogo é interrompido e reiniciado com bola ao chão no local onde a bola original estava.,situacoes_especiais,medio
Qual a regra sobre quando é marcado pênalti?,De acordo com as regras da FIFA: Pênalti é marcado quando há uma falta dentro da área de pênalti que impede uma oportunidade clara de gol.,regras_basicas,facil
Qual o tamanho da área de pênalti?,"A área de pênalti mede 40,32m de largura por 16,5m de profundidade.",equipamentos_campo,facil
O que é cartão amarelo?,A regra estabelece que: Cartão amarelo é uma advertência dada pelo árbitro por conduta antidesportiva ou falta tática.,regras_basicas,facil
O que é tiro livre direto?,Tiro livre direto permite chutar direto ao gol após faltas com contato físico.,regras_avancadas,dificil
