text,intent
qual meu signo se nasci em 15/01?,identificar_signo
qual meu signo se nasci em 05/03?,identificar_signo
qual meu signo se nasci em 25/04?,identificar_signo
qual meu signo se nasci em 10/06?,identificar_signo
qual meu signo se nasci em 30/07?,identificar_signo
qual meu signo se nasci em 15/08?,identificar_signo
qual meu signo se nasci em 20/09?,identificar_signo
qual meu signo se nasci em 31/10?,identificar_signo
qual meu signo se nasci em 15/11?,identificar_signo
qual meu signo se nasci em 25/12?,identificar_signo
qual meu signo se nasci em 14/02?,identificar_signo
qual meu signo se nasci em 01/05?,identificar_signo
"nasci em 15/01, qual meu signo?",identificar_signo
"nasci em 05/03, qual meu signo?",identificar_signo
"nasci em 25/04, qual meu signo?",identificar_signo
"nasci em 10/06, qual meu signo?",identificar_signo
"nasci em 30/07, qual meu signo?",identificar_signo
"nasci em 15/08, qual meu signo?",identificar_signo
"nasci em 20/09, qual meu signo?",identificar_signo
"nasci em 31/10, qual meu signo?",identificar_signo
"nasci em 15/11, qual meu signo?",identificar_signo
"nasci em 25/12, qual meu signo?",identificar_signo
"nasci em 14/02, qual meu signo?",identificar_signo
"nasci em 01/05, qual meu signo?",identificar_signo
"meu aniversário é 15/01, qual signo sou?",identificar_signo
"meu aniversário é 05/03, qual signo sou?",identificar_signo
"meu aniversário é 25/04, qual signo sou?",identificar_signo
"meu aniversário é 10/06, qual signo sou?",identificar_signo
"meu aniversário é 30/07, qual signo sou?",identificar_signo
"meu aniversário é 15/08, qual signo sou?",identificar_signo
"meu aniversário é 20/09, qual signo sou?",identificar_signo
"meu aniversário é 31/10, qual signo sou?",identificar_signo
"meu aniversário é 15/11, qual signo sou?",identificar_signo
"meu aniversário é 25/12, qual signo sou?",identificar_signo
"meu aniversário é 14/02, qual signo sou?",identificar_signo
"meu aniversário é 01/05, qual signo sou?",identificar_signo
que signo é 15/01?,identificar_signo
que signo é 05/03?,identificar_signo
que signo é 25/04?,identificar_signo
que signo é 10/06?,identificar_signo
que signo é 30/07?,identificar_signo
que signo é 15/08?,identificar_signo
que signo é 20/09?,identificar_signo
que signo é 31/10?,identificar_signo
que signo é 15/11?,identificar_signo
que signo é 25/12?,identificar_signo
que signo é 14/02?,identificar_signo
que signo é 01/05?,identificar_signo
qual signo corresponde a 15/01?,identificar_signo
qual signo corresponde a 05/03?,identificar_signo
qual signo corresponde a 25/04?,identificar_signo
qual signo corresponde a 10/06?,identificar_signo
qual signo corresponde a 30/07?,identificar_signo
qual signo corresponde a 15/08?,identificar_signo
qual signo corresponde a 20/09?,identificar_signo
qual signo corresponde a 31/10?,identificar_signo
qual signo corresponde a 15/11?,identificar_signo
qual signo corresponde a 25/12?,identificar_signo
qual signo corresponde a 14/02?,identificar_signo
qual signo corresponde a 01/05?,identificar_signo
"sou de 15/01, qual meu signo?",identificar_signo
"sou de 05/03, qual meu signo?",identificar_signo
"sou de 25/04, qual meu signo?",identificar_signo
"sou de 10/06, qual meu signo?",identificar_signo
"sou de 30/07, qual meu signo?",identificar_signo
"sou de 15/08, qual meu signo?",identificar_signo
"sou de 20/09, qual meu signo?",identificar_signo
"sou de 31/10, qual meu signo?",identificar_signo
"sou de 15/11, qual meu signo?",identificar_signo
"sou de 25/12, qual meu signo?",identificar_signo
"sou de 14/02, qual meu signo?",identificar_signo
"sou de 01/05, qual meu signo?",identificar_signo
15/01 é de qual signo?,identificar_signo
05/03 é de qual signo?,identificar_signo
25/04 é de qual signo?,identificar_signo
10/06 é de qual signo?,identificar_signo
30/07 é de qual signo?,identificar_signo
15/08 é de qual signo?,identificar_signo
20/09 é de qual signo?,identificar_signo
31/10 é de qual signo?,identificar_signo
15/11 é de qual signo?,identificar_signo
25/12 é de qual signo?,identificar_signo
14/02 é de qual signo?,identificar_signo
01/05 é de qual signo?,identificar_signo
qual o signo de quem nasceu em 15/01?,identificar_signo
qual o signo de quem nasceu em 05/03?,identificar_signo
qual o signo de quem nasceu em 25/04?,identificar_signo
qual o signo de quem nasceu em 10/06?,identificar_signo
qual o signo de quem nasceu em 30/07?,identificar_signo
qual o signo de quem nasceu em 15/08?,identificar_signo
qual o signo de quem nasceu em 20/09?,identificar_signo
qual o signo de quem nasceu em 31/10?,identificar_signo
qual o signo de quem nasceu em 15/11?,identificar_signo
qual o signo de quem nasceu em 25/12?,identificar_signo
qual o signo de quem nasceu em 14/02?,identificar_signo
qual o signo de quem nasceu em 01/05?,identificar_signo
como é o signo de Áries?,caracteristicas_signo
como é o signo de Touro?,caracteristicas_signo
como é o signo de Gêmeos?,caracteristicas_signo
como é o signo de Câncer?,caracteristicas_signo
como é o signo de Leão?,caracteristicas_signo
como é o signo de Virgem?,caracteristicas_signo
como é o signo de Libra?,caracteristicas_signo
como é o signo de Escorpião?,caracteristicas_signo
como é o signo de Sagitário?,caracteristicas_signo
como é o signo de Capricórnio?,caracteristicas_signo
