pergunta,resposta,categoria
O que é astrologia?,"Astrologia é o estudo da influência dos corpos celestes (planetas, estrelas, lua, sol) sobre a vida humana e eventos terrestres. Baseia-se na crença de que a posição desses astros no momento do nascimento pode revelar características de personalidade e tendências de vida.",conceitos_basicos
O que é um mapa astral?,"O mapa astral, também chamado de carta natal, é um diagrama que mostra a posição exata dos planetas, signos e casas astrológicas no momento e local do seu nascimento. É como uma fotografia do céu naquele momento específico. Ele revela não apenas seu signo solar, mas também lua, ascendente e posições de todos os planetas.",mapa_astral
"Qual a diferença entre signo solar, lunar e ascendente?","O signo solar (seu signo principal) representa sua essência e ego, é determinado pelo dia e mês de nascimento. O signo lunar revela suas emoções e mundo interior, determinado pela posição da Lua no nascimento. O ascendente é como você se apresenta ao mundo, sua primeira impressão, determinado pelo horário exato de nascimento.",conceitos_basicos
Quantos signos existem?,"Existem 12 signos do zodíaco: Áries, Touro, Gêmeos, Câncer, Leão, Virgem, Libra, Escorpião, Sagitário, Capricórnio, Aquário e Peixes. Cada um ocupa 30 graus do círculo zodiacal de 360 graus.",signos
O que são os 4 elementos na astrologia?,"Os 4 elementos são Fogo (Áries, Leão, Sagitário - energéticos e apaixonados), Terra (Touro, Virgem, Capricórnio - práticos e estáveis), Ar (Gêmeos, Libra, Aquário - intelectuais e comunicativos) e Água (Câncer, Escorpião, Peixes - emocionais e intuitivos).",elementos
O que significa ser de Áries?,"Ser de Áries significa ter nascido entre 21 de março e 19 de abril. Arianos são conhecidos por serem corajosos, determinados, energéticos e líderes natos. São regidos por Marte, o planeta da ação, e pertencem ao elemento Fogo. Tendem a ser impulsivos, competitivos e pioneiros.",signos
Signos de fogo são compatíveis com signos de água?,"Fogo e Água podem ter uma relação desafiadora mas intensa. A água pode apagar o fogo ou o fogo pode evaporar a água. No entanto, quando equilibrados, o fogo traz paixão e a água traz profundidade emocional. Requer esforço e compreensão mútua.",compatibilidade
O que são casas astrológicas?,"As 12 casas astrológicas representam diferentes áreas da vida: Casa 1 (identidade), 2 (finanças), 3 (comunicação), 4 (lar), 5 (criatividade), 6 (saúde e trabalho), 7 (relacionamentos), 8 (transformação), 9 (filosofia), 10 (carreira), 11 (amizades), 12 (espiritualidade).",mapa_astral
O que é Mercúrio retrógrado?,"Mercúrio retrógrado é um fenômeno astronômico onde Mercúrio parece se mover para trás no céu. Na astrologia, é associado a problemas de comunicação, atrasos tecnológicos, revisões de contratos e reencontros do passado. Ocorre 3-4 vezes por ano por cerca de 3 semanas.",planetas
Qual signo é mais compatível com Leão?,"Leão é mais compatível com outros signos de Fogo (Áries e Sagitário) que compartilham sua paixão e energia, e com signos de Ar (Gêmeos e Libra) que admiram seu brilho e criatividade. Áries e Leão formam uma dupla poderosa e dinâmica.",compatibilidade
