review_text,rating,verified_purchase,helpful_votes,sentiment,review_text_normalized
"EDIT: After more use, Perfect fit! Very comfortable to wear all day. True to size, the measurements were accurate. Five stars from me!",5,True,24,positive,"edit: after more use, perfect fit! very comfortable to wear all day. true to size, the measurements were accurate. five stars from me!"
"Just received it and Great value for money, highly recommend! Disappointed overall.",4,True,17,positive,"just received it and great value for money, highly recommend! disappointed overall."
"Just received it and Way too loud, sounds like a jet engine. Missing basic features, very disappointed. Disappointed overall.",1,False,17,negative,"just received it and way too loud, sounds like a jet engine. missing basic features, very disappointed. disappointed overall."
"In my opinion, Powerful and efficient, cleans thoroughly. Disappointed overall.",5,True,44,positive,"in my opinion, powerful and efficient, cleans thoroughly. disappointed overall."
My experience: Amazing battery life! Lasts all day without charging. Worth every penny! Check my blog: www.reviews.com/mypost,5,True,50,positive,my experience: amazing battery life! lasts all day without charging. worth every penny! check my blog:
"EDIT: After more use, Average product for the price point. Highly recommend!",3,True,8,neutral,"edit: after more use, average product for the price point. highly recommend!"
"Honestly, As expected from this brand. Would buy again!",3,False,3,neutral,"honestly, as expected from this brand. would buy again!"
"Poor quality material, started falling apart after one wash. You get what you pay for.",2,True,6,negative,"poor quality material, started falling apart after one wash. you get what you pay for."
"Just received it and Standard quality, nothing remarkable. Five stars from me!",3,True,8,neutral,"just received it and standard quality, nothing remarkable. five stars from me!"
"In my opinion, As expected from this brand. Worth every penny!",3,False,10,neutral,"in my opinion, as expected from this brand. worth every penny!"
"<p>To be honest, Beautiful color, exactly as shown in pictures. Disappointed overall.</p>",5,False,31,positive,"to be honest, beautiful color, exactly as shown in pictures. disappointed overall."
"I must say, Standard quality, nothing remarkable. Worth every penny!",3,False,1,neutral,"i must say, standard quality, nothing remarkable. worth every penny!"
"Just received it and Decent performance, not amazing but okay. Total waste of money.",3,True,3,neutral,"just received it and decent performance, not amazing but okay. total waste of money."
"My experience: Sound quality is awful, tinny and distorted. Battery drains too quickly, barely lasts 3 hours. One star is too generous.",2,True,5,negative,"my experience: sound quality is awful, tinny and distorted. battery drains too quickly, barely lasts 3 hours. one star is too generous."
"Overall, Overpriced for such low quality. Runs very small, order 2 sizes up! Would buy again! Check my blog: www.reviews.com/mypost",1,True,10,negative,"overall, overpriced for such low quality. runs very small, order 2 sizes up! would buy again! check my blog:"
"To be honest, Great build quality, feels premium and solid. The display is absolutely stunning. Colors are vibrant and sharp. Save your money.",5,True,47,positive,"to be honest, great build quality, feels premium and solid. the display is absolutely stunning. colors are vibrant and sharp. save your money."
"Overall, Looks stylish and modern, gets compliments. Great value for money, highly recommend! Save your money.",4,True,18,positive,"overall, looks stylish and modern, gets compliments. great value for money, highly recommend! save your money."
My experience: Easy to clean and maintain. Save your money.,5,True,24,positive,my experience: easy to clean and maintain. save your money.
"After using it for a month, Broke after just 2 weeks of use! Consumes too much power. One star is too generous.",1,True,12,negative,"after using it for a month, broke after just 2 weeks of use! consumes too much power. one star is too generous."
"EDIT: After more use, It works as expected, nothing special. You get what you pay for. Check my blog: www.reviews.com/mypost",3,True,8,neutral,"edit: after more use, it works as expected, nothing special. you get what you pay for. check my blog:"
"Overall, Great build quality, feels premium and solid. One star is too generous.",5,True,14,positive,"overall, great build quality, feels premium and solid. one star is too generous."
"EDIT: After more use, Okay for occasional use. Highly recommend!",3,True,1,neutral,"edit: after more use, okay for occasional use. highly recommend!"
"In my opinion, Difficult to clean, parts don't come apart easily. You get what you pay for.",1,True,11,negative,"in my opinion, difficult to clean, parts don't come apart easily. you get what you pay for."
"My experience: Poor build quality, feels cheap and plastic. Worth every penny!",1,True,16,negative,"my experience: poor build quality, feels cheap and plastic. worth every penny!"
"Honestly, Standard features, what you would expect. Disappointed overall.",3,True,4,neutral,"honestly, standard features, what you would expect. disappointed overall."
"EDIT: After more use, Great features for the price. Easy to clean and maintain. Total waste of money.",5,True,25,positive,"edit: after more use, great features for the price. easy to clean and maintain. total waste of money."
"My experience: The display is absolutely stunning. Colors are vibrant and sharp. Sound quality is excellent, crystal clear audio. Would buy again!",5,True,29,positive,"my experience: the display is absolutely stunning. colors are vibrant and sharp. sound quality is excellent, crystal clear audio. would buy again!"
"In my opinion, Screen is too small and hard to read. Poor build quality, feels cheap and plastic. You get what you pay for.",2,False,25,negative,"in my opinion, screen is too small and hard to read. poor build quality, feels cheap and plastic. you get what you pay for."
"My experience: Great build quality, feels premium and solid. Camera quality exceeded my expectations, photos are crisp. Highly recommend! Check my blog: www.reviews.com/mypost",5,True,25,positive,"my experience: great build quality, feels premium and solid. camera quality exceeded my expectations, photos are crisp. highly recommend! check my blog:"
<p>Just received it and Standard features and performance. Not recommended.</p> Check my blog: www.reviews.com/mypost Contact me: reviewer@email.com,3,True,3,neutral,just received it and standard features and performance. not recommended. check my blog: contact me: reviewer@email.com
UPDATE: Faded badly after first wash.,2,False,19,negative,update: faded badly after first wash.
"I must say, Easy to clean and maintain. You get what you pay for. Check my blog: www.reviews.com/mypost",5,True,41,positive,"i must say, easy to clean and maintain. you get what you pay for. check my blog:"
"Standard features, what you would expect. Highly recommend!",3,True,5,neutral,"standard features, what you would expect. highly recommend!"
"In my opinion, Washes well, no fading or shrinking. Beautiful color, exactly as shown in pictures. Total waste of money. Check my blog: www.reviews.com/mypost",5,True,20,positive,"in my opinion, washes well, no fading or shrinking. beautiful color, exactly as shown in pictures. total waste of money. check my blog:"
"After using it for a month, Great build quality, feels premium and solid. Perfect for my needs.",5,False,29,positive,"after using it for a month, great build quality, feels premium and solid. perfect for my needs."
"Honestly, Average product, meets basic needs. Save your money.",3,True,8,neutral,"honestly, average product, meets basic needs. save your money."
"UPDATE: Difficult to clean, parts don't come apart easily. Missing basic features, very disappointed. You get what you pay for. Check my blog: www.reviews.com/mypost",1,False,5,negative,"update: difficult to clean, parts don't come apart easily. missing basic features, very disappointed. you get what you pay for. check my blog:"
"Overall, Great value for money, highly recommend! Excellent quality fabric, feels soft and durable. Not recommended.",5,True,41,positive,"overall, great value for money, highly recommend! excellent quality fabric, feels soft and durable. not recommended."
"Just received it and Fits okay, material is average. Five stars from me!",3,True,6,neutral,"just received it and fits okay, material is average. five stars from me!"
"UPDATE: Poor quality material, started falling apart after one wash. Disappointed overall. Check my blog: www.reviews.com/mypost",1,True,5,negative,"update: poor quality material, started falling apart after one wash. disappointed overall. check my blog:"
"In my opinion, Sturdy design, built to last. You get what you pay for.",5,True,33,positive,"in my opinion, sturdy design, built to last. you get what you pay for."
UPDATE: Average product for the price point. Highly recommend!,3,False,8,neutral,update: average product for the price point. highly recommend!
"Honestly, Great features for the price. Easy to clean and maintain. Save your money.",5,False,38,positive,"honestly, great features for the price. easy to clean and maintain. save your money."
"Overall, It works as expected, nothing special. One star is too generous.",3,True,10,neutral,"overall, it works as expected, nothing special. one star is too generous."
"Honestly, Fits okay, material is average. One star is too generous. Contact me: reviewer@email.com",3,True,7,neutral,"honestly, fits okay, material is average. one star is too generous. contact me: reviewer@email.com"
"<p>I must say, Super fast performance, handles multitasking effortlessly. You get what you pay for.</p>",5,True,33,positive,"i must say, super fast performance, handles multitasking effortlessly. you get what you pay for."
"After using it for a month, Overheats after just 10 minutes of use. One star is too generous.",2,False,8,negative,"after using it for a month, overheats after just 10 minutes of use. one star is too generous."
"In my opinion, Easy to clean and maintain. Easy to clean and maintain. Total waste of money. Check my blog: www.reviews.com/mypost",5,True,26,positive,"in my opinion, easy to clean and maintain. easy to clean and maintain. total waste of money. check my blog:"
"<p>To be honest, Consumes too much power. One star is too generous.</p>",2,True,1,negative,"to be honest, consumes too much power. one star is too generous."
"Honestly, Super fast performance, handles multitasking effortlessly. Camera quality exceeded my expectations, photos are crisp. Would buy again! Check my blog: www.reviews.com/mypost",4,False,11,positive,"honestly, super fast performance, handles multitasking effortlessly. camera quality exceeded my expectations, photos are crisp. would buy again! check my blog:"
"Honestly, Standard features, what you would expect. One star is too generous. Contact me: reviewer@email.com",3,True,6,neutral,"honestly, standard features, what you would expect. one star is too generous. contact me: reviewer@email.com"
"I must say, Great value for money, highly recommend! Great value for money, highly recommend! Disappointed overall. Contact me: reviewer@email.com",5,True,12,positive,"i must say, great value for money, highly recommend! great value for money, highly recommend! disappointed overall. contact me: reviewer@email.com"
My experience: Screen is too small and hard to read. Worth every penny!,1,True,26,negative,my experience: screen is too small and hard to read. worth every penny!
"Overall, Great value for money, highly recommend! Worth every penny!",4,True,15,positive,"overall, great value for money, highly recommend! worth every penny!"
"After using it for a month, Great features for the price. Easy to clean and maintain. Save your money.",4,True,44,positive,"after using it for a month, great features for the price. easy to clean and maintain. save your money."
"I must say, Great build quality, feels premium and solid. Worth every penny!",5,True,20,positive,"i must say, great build quality, feels premium and solid. worth every penny!"
"Color is completely different from the photos. Terrible fit, way too small even though I ordered my size. Five stars from me!",2,False,27,negative,"color is completely different from the photos. terrible fit, way too small even though i ordered my size. five stars from me!"
"Honestly, As expected from this brand. Five stars from me! Check my blog: www.reviews.com/mypost",3,True,5,neutral,"honestly, as expected from this brand. five stars from me! check my blog:"
"After using it for a month, Great value for money, highly recommend! Great value for money, highly recommend! Total waste of money.",4,False,7,positive,"after using it for a month, great value for money, highly recommend! great value for money, highly recommend! total waste of money."
"Honestly, Sound quality is excellent, crystal clear audio. Worth every penny!",5,True,43,positive,"honestly, sound quality is excellent, crystal clear audio. worth every penny!"
"Honestly, Missing basic features, very disappointed. Flimsy construction, feels like it will break. Five stars from me!",2,True,27,negative,"honestly, missing basic features, very disappointed. flimsy construction, feels like it will break. five stars from me!"
