pergunta,resposta
"Oi, tudo bem?","Olá! Tudo ótimo, e você? Como posso ajudar hoje?"
Qual a cor da camisa?,"A camisa básica é vermelha. Também temos camisa polo azul, camisa social branca e camisa estampada floral em verde e rosa."
Quanto custa a camisa?,"A camisa básica vermelha custa R$ 45,00. Temos outras opções: polo azul por R$ 79,90, social branca por R$ 120,00 e estampada por R$ 65,00."
Qual o preço da camisa vermelha?,"A camisa vermelha custa R$ 45,00."
Quanto custa a calça jeans?,"A calça jeans tradicional azul custa R$ 150,00."
Vocês têm jaqueta?,"Sim! Temos jaqueta jeans azul por R$ 220,00, jaqueta de couro preta por R$ 450,00 e jaqueta corta-vento verde por R$ 130,00."
Qual o horário de funcionamento?,"De segunda a sábado funcionamos das 9h às 20h. Aos domingos, das 10h às 18h. O atendimento online funciona 24 horas."
Como posso trocar um produto?,Você pode trocar em até 30 dias apresentando a nota fiscal em nossas lojas ou solicitando coleta pelo site. O produto deve estar sem uso e com etiqueta.
Vocês fazem entrega?,"Sim! Frete grátis para compras acima de R$ 150,00. Abaixo disso, o frete varia entre R$ 15,00 e R$ 30,00. Entrega em 5 a 10 dias úteis."
Quais formas de pagamento vocês aceitam?,"Aceitamos cartão de crédito (até 3x sem juros), débito, PIX e dinheiro. Compras acima de R$ 200,00 podem ser parceladas em até 6x sem juros."
A camisa é de algodão?,"Sim, a camisa básica vermelha é 100% algodão. A polo é 80% algodão e 20% poliéster."
Qual o tamanho disponível?,"A camisa básica está disponível em P, M, G e GG."
Onde fica a loja?,"Nossa loja principal fica na Rua das Flores, 123 - Centro - São Paulo/SP - CEP 01234-567."
Qual o telefone de contato?,Nosso telefone é (11) 3456-7890. Também temos WhatsApp: (11) 98765-4321.
Tem desconto?,"A camisa polo azul está em promoção por R$ 79,90 (antes R$ 99,90). Consulte nosso site para outras promoções!"
Posso devolver produtos em promoção?,"Não aceitamos devolução de produtos com desconto acima de 50%. Para descontos menores, vale a política de troca de 30 dias."
A jaqueta é impermeável?,A jaqueta corta-vento verde é impermeável e possui capuz removível. Ideal para dias chuvosos!
Tem calça social?,"Sim! Temos calça social preta por R$ 180,00, ideal para eventos formais e ambiente corporativo."
Qual o material da jaqueta de couro?,"A jaqueta de couro preta é feita de couro legítimo de alta qualidade. Custa R$ 450,00."
Frete grátis?,"Sim! Frete grátis para compras acima de R$ 150,00."
