review_id,product_name,category,rating,review_text,review_date,verified_purchase,helpful_votes,sentiment
REV00001,Denim Jeans,clothing,5,"EDIT: After more use, Perfect fit! Very comfortable to wear all day. True to size, the measurements were accurate. Five stars from me!",2025-12-31,True,24,positive
REV00002,Denim Jeans,clothing,4,"Just received it and Great value for money, highly recommend! Disappointed overall.",2026-01-01,True,17,positive
REV00003,Vacuum Cleaner,home,1,"Just received it and Way too loud, sounds like a jet engine. Missing basic features, very disappointed. Disappointed overall.",2026-03-11,False,17,negative
REV00004,Vacuum Cleaner,home,5,"In my opinion, Powerful and efficient, cleans thoroughly. Disappointed overall.",2026-02-06,True,44,positive
REV00005,Laptop Pro 15,electronics,5,My experience: Amazing battery life! Lasts all day without charging. Worth every penny! Check my blog: www.reviews.com/mypost,2026-06-04,True,50,positive
REV00006,Tablet Ultra,electronics,3,"EDIT: After more use, Average product for the price point. Highly recommend!",2026-04-15,True,8,neutral
REV00007,Cotton T-Shirt,clothing,3,"Honestly, As expected from this brand. Would buy again!",2026-05-23,False,3,neutral
REV00008,Leather Belt,clothing,2,"Poor quality material, started falling apart after one wash. You get what you pay for.",2026-02-05,True,6,negative
REV00009,Denim Jeans,clothing,3,"Just received it and Standard quality, nothing remarkable. Five stars from me!",2026-05-23,True,8,neutral
REV00010,Cotton T-Shirt,clothing,3,"In my opinion, As expected from this brand. Worth every penny!",2026-04-27,False,10,neutral
REV00011,Winter Jacket,clothing,5,"<p>To be honest, Beautiful color, exactly as shown in pictures. Disappointed overall.</p>",2026-01-07,False,31,positive
REV00012,Denim Jeans,clothing,3,"I must say, Standard quality, nothing remarkable. Worth every penny!",2026-02-21,False,1,neutral
REV00013,Smartphone X1,electronics,3,"Just received it and Decent performance, not amazing but okay. Total waste of money.",2026-04-17,True,3,neutral
REV00014,Smartphone X1,electronics,2,"My experience: Sound quality is awful, tinny and distorted. Battery drains too quickly, barely lasts 3 hours. One star is too generous.",2026-05-10,True,5,negative
REV00015,Running Shoes,clothing,1,"Overall, Overpriced for such low quality. Runs very small, order 2 sizes up! Would buy again! Check my blog: www.reviews.com/mypost",2026-04-13,True,10,negative
REV00016,Wireless Headphones,electronics,5,"To be honest, Great build quality, feels premium and solid. The display is absolutely stunning. Colors are vibrant and sharp. Save your money.",2026-01-31,True,47,positive
REV00017,Denim Jeans,clothing,4,"Overall, Looks stylish and modern, gets compliments. Great value for money, highly recommend! Save your money.",2026-04-03,True,18,positive
REV00018,Air Purifier,home,5,My experience: Easy to clean and maintain. Save your money.,2026-03-20,True,24,positive
